Address;Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b
Республика Татарстан, Казань, Чистопольская ул., 10/8;;1;2;18000;45.0;12.0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Ноксинский Спуск, 21;;1;2;16000;42.0;10.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Фатыха Амирхана, 53Б;;1;1;17000;36.0;10.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 3;;1;1;16500;36.6;9.0;7;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;16
Республика Татарстан, Казань, ул. Павлюхина, 110В;;1;2;18000;38.5;10.0;4;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;22
Республика Татарстан, Казань, ул. Меховщиков, 4А;20.0;1;1;25000;42.0;7.0;7;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;9
Республика Татарстан, Казань, пр-т Альберта Камалеева, 32Б;;1;2;25000;38.0;12.0;4;0;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;19
Республика Татарстан, Казань, пр-т Победы, 139к2;;1;2;16000;41.6;10.0;9;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;24
Республика Татарстан, Казань, ул. Академика Арбузова, 4;;1;1;16000;18.0;;2;0;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;5
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к2;;1;3;20000;31.0;7.0;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;26
Республика Татарстан, Казань, ул. Архитектора Гайнутдинова, 26к3;16.0;1;3;30000;38.0;10.0;11;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;17
Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;;1;1;15000;35.0;8.0;10;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;15
Республика Татарстан, Казань, пр-т Ямашева, 12;8.0;2;1;18500;47.8;30.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5
Республика Татарстан, Казань, ул. Нурсултана Назарбаева, 70;20.4;1;1;14000;35.6;4.5;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;5
Республика Татарстан, Лаишевский р-н, с. Усады, Счастливая ул., 5;;1;1;17000;37.0;10.0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Маяковского, 12;;1;3;25000;50.6;10.0;3;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Казань, пр-т Победы, 39;18.1;1;2;18000;34.1;6.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Николая Ершова, 62Дк1;17.5;1;3;40000;40.0;10.3;3;0;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Павлюхина, 103;;1;1;13500;13.7;;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;5
Республика Татарстан, Казань, ул. Шамиля Усманова, 19к1;22.0;2;1;19500;43.9;6.2;2;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;1;0;0;5
Республика Татарстан, Казань, ул. Галимджана Баруди, 18;;1;1;17500;45.8;12.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Лукина, 52;23.0;1;2;16000;42.0;9.0;8;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Карбышева, 40;;1;1;14000;29.0;7.0;9;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, Бойничная ул., 10;19.0;1;1;11000;35.6;8.0;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;6
Республика Татарстан, Казань, ул. Тимирязева, 10;;2;1;17000;71.0;11.0;2;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;5
Республика Татарстан, Казань, ул. Столярова, 35;55.0;3;2;25000;65.0;5.0;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;5
Республика Татарстан, Казань, Теплично-Комбинатская ул., 8;;1;1;13000;36.0;7.0;2;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;3
Республика Татарстан, Казань, улица Латышских Стрелков, 29;;1;1;13000;15.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9
Республика Татарстан, Казань, ул. Гудованцева, 22А;;2;1;13000;23.0;4.0;3;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;5
Республика Татарстан, Казань, Советский район, Пионерская ул., 8;;1;2;17000;35.0;9.0;3;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;4
Республика Татарстан, Казань, ул. Годовикова, 14;;2;1;19000;44.0;5.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;5
Республика Татарстан, Казань, ул. Четаева, 25;15.0;1;1;12500;33.0;9.0;6;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Железнодорожников, 15;16.0;1;2;13000;30.0;9.0;5;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 82;17.0;1;2;32000;38.0;11.5;5;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Максимова, 40;14.0;1;1;20000;44.0;11.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Братьев Касимовых, 84;16.0;1;1;17500;31.5;7.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Республика Татарстан, Казань, ул. Красной Позиции, 1;;1;2;22000;30.0;10.0;5;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;5
Республика Татарстан, Казань, ул. Адоратского, 3Б;;1;2;25000;52.0;10.0;8;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;0;14
Республика Татарстан, Казань, ул. Амирхана Еники, 17;;1;1;18000;36.7;12.0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;10
Республика Татарстан, Казань, Чистопольская ул., 88;17.0;1;2;30000;47.0;17.0;18;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;23
Республика Татарстан, Казань, ул. Фикрята Табеева, 1;;1;2;17000;40.0;10.0;6;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;10
Республика Татарстан, Казань, ул. Академика Завойского, 8;33.0;2;2;18000;52.5;8.0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Дуслык, 4;19.2;1;1;25000;39.0;9.2;1;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;7
Республика Татарстан, Казань, пр-т Победы, 46Б;28.0;1;2;30000;54.0;18.0;17;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;19
Республика Татарстан, Казань, ул. Кул Гали, 24;;1;1;16000;49.2;16.0;7;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9
Республика Татарстан, Казань, ул. Декабристов, 131;;1;1;18000;37.0;7.0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, ул. Академика Глушко, 9к1;30.0;2;1;14000;52.0;8.0;8;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;10
Республика Татарстан, Казань, ул. Декабристов, 154;20.0;1;1;17000;30.0;7.0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Четаева, 31;;1;1;15000;33.0;7.0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Абжалилова, 1/82;;1;1;14000;18.0;7.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Республика Татарстан, Казань, Вахитовский район, Большая Красная ул., 1А;;1;1;16000;30.7;6.5;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;5
Республика Татарстан, Казань, Вахитовский район, Большая Красная ул., 3;;2;1;23000;44.0;12.0;5;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Казань, ул. Достоевского, 74;19.0;1;2;25000;30.0;6.0;2;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;0;5
Республика Татарстан, Казань, ул. Айрата Арсланова, 12/2;;1;1;15000;35.0;8.0;10;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;15
Республика Татарстан, Казань, ул. Сибгата Хакима, 5А;25.0;1;2;24999;38.0;10.0;4;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;10
Республика Татарстан, Казань, ул. Академика Королёва, 14;27.9;2;1;20000;47.5;8.6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5
Республика Татарстан, Казань, ул. Аделя Кутуя, 46;48.0;2;1;30000;86.0;12.0;2;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;9
Республика Татарстан, Казань, ул. Сибгата Хакима, 46;;2;2;35000;54.0;9.0;10;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;0;0;20
Республика Татарстан, Казань, ул. Лейтенанта Шмидта, 48;;1;1;18000;31.1;6.0;3;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Рихарда Зорге, 66В;;1;2;15000;42.0;9.0;11;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;24
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к4;;2;2;30000;45.0;20.0;13;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;23
Республика Татарстан, Казань, ул. Фатыха Амирхана, 14Б;39.0;2;2;50000;85.0;15.0;10;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;17
Республика Татарстан, Казань, Чистопольская ул., 16/15;;1;2;16500;55.1;12.0;7;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;16
Республика Татарстан, Казань, ул. Хайдара Бигичева, 3;45.0;3;2;25000;65.0;12.0;2;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;10
Республика Татарстан, Казань, ул. Хади Такташа, 123;30.4;2;1;19000;46.4;5.2;1;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;0;5
Республика Татарстан, Казань, ул. Побежимова, 36;18.0;1;2;18000;37.0;10.0;7;0;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;12
Республика Татарстан, Казань, проспект Альберта Камалеева, 30, подъезд 4;20.0;1;3;30000;37.0;7.0;8;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;23
Республика Татарстан, Казань, ул. Хусаина Мавлютова, 17;16.0;1;1;20000;30.0;8.0;3;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;1;0;0;0;9
Республика Татарстан, Казань, Калугинская ул., 4;;1;1;14000;13.0;;5;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;1;0;0;1;5
