,Living_space,Num_of_rooms,Renovation,Total_area,Kitchen_area,Floor,Appliances_2,Appliances_3,Appliances_4,Appliances_5,Appliances_7,Appliances_8,Appliances_9,Appliances_10,Balcony_1,Balcony_2,Furniture_1,Furniture_2,Furniture_3,Internet_tv_1,Internet_tv_2,Bathroom_1,Bathroom_2,Utilities_1,Room_type_1,Room_type_2,Studio,Floors_in_b,district_1,district_2,district_3,district_4,district_5,district_6,district_7,1st_floor,Metro_d,Center_d
10,53.108899146633185,2,2,78.0,17.0,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,9,0,0,0,1,0,0,0,0,3.494109581093994,4.386247666741134
11,35.0,2,2,47.0,9.0,4,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,5,1,0,0,0,0,0,0,0,0.696049874653136,4.394692615769222
12,18.0,1,2,40.0,12.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,3.0216010674748057,3.7146791592409603
13,18.85444970195715,1,1,38.9,9.0,5,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0.6644574887500071,3.3595268087310224
14,65.0,2,2,90.0,15.0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,1.1515280078117163,3.4911913298734363
15,33.2,2,1,63.0,13.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0.6454733414730673,0.6961067736591896
16,15.5,1,1,36.6,9.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,10.402943282668373,10.824455806847874
17,83.67705199455436,3,2,110.0,25.0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0.4426186408405391,1.6452514899501516
18,15.0,1,1,32.0,9.0,3,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0.45563354232899633,2.24217852442373
19,26.8,2,2,51.6,11.0,4,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,10,0,0,1,0,0,0,0,0,1.0195601985120926,2.883938644781539
20,18.42622968767009,1,2,39.7,10.0,15,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,17,0,0,1,0,0,0,0,0,1.1174417677260025,2.3387898275702677
21,13.017812704166174,1,3,25.0,10.0,2,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,21,0,0,1,0,0,0,0,0,1.1923892168120518,2.8002900879384116
22,22.0,1,1,33.0,8.790508631682588,5,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,10,0,1,0,0,0,0,0,0,0.2666724831480898,1.7665485112659134
23,30.1,1,1,38.7,5.5,3,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,2.5801558349424654,3.495427912388579
24,12.54878048429603,1,3,16.2,9.620689641883626,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,9,0,0,0,1,0,0,0,1,3.3235371954189645,4.901073584167286
25,42.0,3,3,90.0,20.0,8,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,20,0,0,0,1,0,0,0,0,2.394310122808491,3.0312570856133956
26,48.1,2,1,56.3,7.4,3,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,9,0,0,0,0,1,0,0,0,0.9384041899631552,5.422145689893998
27,55.0,3,1,78.0,10.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,0,0.8854727720654906,3.628355314740341
28,19.165556058675826,1,2,37.7,10.0,2,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1.226393351399028,1.217273478249341
